INFO:root:Processed 0 repos
INFO:root:Cloning repo as it doesn't exist
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=False, shell=None, istream=None)
DEBUG:git.cmd:Popen(['git', 'clone', '-v', '--bare', '--progress', '--', 'https://gerrit.wikimedia.org/r/mediawiki%2Fextensions%2F3D.git', '/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=True, shell=None, istream=None)
DEBUG:root:Op code: 5, Current count: 1.0, Max count: , Progress done: 0, Message: 
DEBUG:git.cmd:Popen(['git', 'fetch', '-v', '--progress', '--', 'origin', 'refs/heads/*:refs/heads/*'], cwd=/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D, universal_newlines=True, shell=None, istream=None)
INFO:root:Processed 1 repos
INFO:root:Cloning repo as it doesn't exist
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=False, shell=None, istream=None)
DEBUG:git.cmd:Popen(['git', 'clone', '-v', '--bare', '--progress', '--', 'https://gerrit.wikimedia.org/r/mediawiki%2Fextensions.git', '/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=True, shell=None, istream=None)
DEBUG:root:Op code: 5, Current count: 1.0, Max count: , Progress done: 0, Message: 
DEBUG:root:Op code: 4, Current count: 1087.0, Max count: , Progress done: 10, Message: done
DEBUG:root:Op code: 129, Current count: 11.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 22.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 33.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 44.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 55.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 66.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 77.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 87.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 98.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 109.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 120.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 131.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 142.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 153.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 164.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 174.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 185.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 196.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 207.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 218.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 229.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 240.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 251.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 261.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 272.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 283.0, Max count: 1087.0, Progress done: 0, Message: 
